worker,task,answer
A37TAQZGFFIPF6,681,0
AJWKHL2B85PZ9,681,1
A1SCNO7L71ITFY,681,1
A1C8QK1FPEOOZN,681,0
AADB14P6ZCSOC,681,1
AF3G0V1QQAU80,682,0
AJWKHL2B85PZ9,682,0
A2SB5KUOAGU70U,682,0
A2QNS7MODF0A2N,682,0
A29PMRCRJ7Q9ZD,682,0
A17G2QHR8AH5VV,683,0
A1SCNO7L71ITFY,683,1
A2H3M1JVY991Q3,683,1
A3TSHG5R492EHU,683,1
ARX0S1CIDJLOX,683,1
AJWKHL2B85PZ9,684,0
A1SCNO7L71ITFY,684,0
A3TSHG5R492EHU,684,0
AF3G0V1QQAU80,684,1
A17G2QHR8AH5VV,684,0
A1264GOK2Z3WSE,685,0
A2P37651146LL5,685,0
A296F95XZ8N4S6,685,0
A29PMRCRJ7Q9ZD,685,0
A3TSHG5R492EHU,685,0
A1D67BJW63N47G,686,0
A3TSHG5R492EHU,686,0
A37TAQZGFFIPF6,686,0
A2QNS7MODF0A2N,686,0
A29PMRCRJ7Q9ZD,686,0
A2P37651146LL5,687,1
A37TAQZGFFIPF6,687,1
A2QNS7MODF0A2N,687,1
A3TSHG5R492EHU,687,1
A2F0NZQ8F9ON8C,687,1
A17G2QHR8AH5VV,688,0
A2460QZM5TZC4V,688,0
A3TSHG5R492EHU,688,0
A2SB5KUOAGU70U,688,0
A2H3M1JVY991Q3,688,1
A1SCNO7L71ITFY,689,0
A29PMRCRJ7Q9ZD,689,1
A3CFNUD7VR2E1E,689,0
A3NC9MZKCOD3T4,689,0
A3TSHG5R492EHU,689,0
A1SCNO7L71ITFY,690,1
A17G2QHR8AH5VV,690,0
A3U1K9X1LXA5JA,690,1
A1TTA3N401CZTS,690,0
A29PMRCRJ7Q9ZD,690,1
